,link,relevance,b_relevance
0,http://www.cs.ucl.ac.uk/mobile/news/article/ucl-students-learn-state-of-the-art-ai-in-deepmind-partnership/,2,1
1,http://www.cs.ucl.ac.uk/mobile/archive/article/ucl-students-learn-state-of-the-art-ai-in-deepmind-partnership/,2,1
2,http://www.cs.ucl.ac.uk/news/article/ucl-students-learn-state-of-the-art-ai-in-deepmind-partnership/,2,1
3,http://www.cs.ucl.ac.uk/archive/article/ucl-students-learn-state-of-the-art-ai-in-deepmind-partnership/,2,1
4,http://www0.cs.ucl.ac.uk/staff/p.bentley/igdigitalbiology/,0,0
5,http://www0.cs.ucl.ac.uk/research/mars/,0,0
6,http://www.cs.ucl.ac.uk/mobile/students/student_information/staff_student_committee/agendas/,0,0
7,http://www.cs.ucl.ac.uk/mobile/students/student_information/staff_student_committee/minutes/,0,0
8,http://www.cs.ucl.ac.uk/mobile/students/student_information/staff_student_committee/representatives/,0,0
9,http://www.cs.ucl.ac.uk/mobile/students/student_information/staff_student_committee/current_representatives/,0,0
10,http://www.cs.ucl.ac.uk/mobile/students/moodle_links/,0,0
11,http://www.cs.ucl.ac.uk/mobile/current_students/degree_programme/international_programme/,0,0
12,http://www.cs.ucl.ac.uk/mobile/current_students/student_information/staff_student_committee/agendas/,0,0
13,http://www0.cs.ucl.ac.uk/staff/l.capra/teaching/teaching.html,0,0
14,http://www.cs.ucl.ac.uk/mobile/teaching_learning/student_information/staff_student_committee/agendas/,0,0
15,http://www.cs.ucl.ac.uk/mobile/teaching_learning/student_information/staff_student_committee/minutes/,0,0
16,http://www.cs.ucl.ac.uk/mobile/teaching_learning/student_information/staff_student_committee/representatives/,0,0
17,http://www.cs.ucl.ac.uk/mobile/teaching_learning/student_information/staff_student_committee/current_representatives/,0,0
18,http://www.cs.ucl.ac.uk/mobile/teaching_learning/moodle_links/,0,0
19,http://www.cs.ucl.ac.uk/mobile/current_students/student_information/staff_student_committee/minutes/,0,0
20,http://www.cs.ucl.ac.uk/mobile/current_students/student_information/staff_student_committee/current_representatives/,0,0
21,http://www.cs.ucl.ac.uk/mobile/current_students/student_information/staff_student_committee/representatives/,0,0
22,http://www.cs.ucl.ac.uk/mobile/current_students/moodle_links/,0,0
23,http://www.cs.ucl.ac.uk/mobile/students/,0,0
24,http://www.cs.ucl.ac.uk/mobile/current_students/,0,0
25,http://www.cs.ucl.ac.uk/mobile/teaching_learning/,0,0
26,http://www.cs.ucl.ac.uk/mobile/intranet/,0,0
27,http://www.cs.ucl.ac.uk/mobile/intranet/deolo/,0,0
28,http://www0.cs.ucl.ac.uk/staff/K.Page/,0,0
29,http://www.cs.ucl.ac.uk/mobile/intranet/information_regarding_visiting_students/,0,0
