url:,title
http://www.ucl.ac.uk/,
http://www.cs.ucl.ac.uk/home/,
http://www.facebook.com/pages/University-College-London-Computer-Science/132472916819198,
http://www.linkedin.com/groups?gid=4046543&trk=myg_ugrp_ovr,
https://twitter.com/,
http://www.youtube.com/user/UCLComputerScience/videos,
http://www.ucl.ac.uk/,"
			Andrea Bittau, 1983-2017
		"
http://www.cs.ucl.ac.uk/home/,"
			Andrea Bittau, 1983-2017
		"
http://www.cs.ucl.ac.uk/mobile/news/,"
			Andrea Bittau, 1983-2017
		"
http://www.cs.ucl.ac.uk/prospective_students/,"
			Andrea Bittau, 1983-2017
		"
http://www.cs.ucl.ac.uk/research/,"
			Andrea Bittau, 1983-2017
		"
http://www.cs.ucl.ac.uk/industry_outreach/,"
			Andrea Bittau, 1983-2017
		"
http://www.ucl.ac.uk/,"
			Event Details
		"
http://www.cs.ucl.ac.uk/home/,"
			Event Details
		"
http://www.cs.ucl.ac.uk/mobile/event_details/,"
			Event Details
		"
http://www.cs.ucl.ac.uk/prospective_students/,"
			Event Details
		"
http://www.cs.ucl.ac.uk/research/,"
			Event Details
		"
http://www.cs.ucl.ac.uk/industry_outreach/,"
			Event Details
		"
http://www.ucl.ac.uk/,"
			Athena SWAN Silver Award for UCL Computer Science
		"
http://www.cs.ucl.ac.uk/home/,"
			Athena SWAN Silver Award for UCL Computer Science
		"
http://www.cs.ucl.ac.uk/mobile/news/,"
			Athena SWAN Silver Award for UCL Computer Science
		"
http://www.cs.ucl.ac.uk/prospective_students/,"
			Athena SWAN Silver Award for UCL Computer Science
		"
http://www.cs.ucl.ac.uk/research/,"
			Athena SWAN Silver Award for UCL Computer Science
		"
http://www.cs.ucl.ac.uk/industry_outreach/,"
			Athena SWAN Silver Award for UCL Computer Science
		"
http://www.ucl.ac.uk/,"
			REF2014: UCL Computer Science ranked first 
		"
http://www.cs.ucl.ac.uk/home/,"
			REF2014: UCL Computer Science ranked first 
		"
http://www.cs.ucl.ac.uk/mobile/archive/,"
			REF2014: UCL Computer Science ranked first 
		"
http://www.cs.ucl.ac.uk/prospective_students/,"
			REF2014: UCL Computer Science ranked first 
		"
http://www.cs.ucl.ac.uk/research/,"
			REF2014: UCL Computer Science ranked first 
		"
http://www.cs.ucl.ac.uk/industry_outreach/,"
			REF2014: UCL Computer Science ranked first 
		"
http://www.ucl.ac.uk/,"
			Event Details
		"
http://www.cs.ucl.ac.uk/home/,"
			Event Details
		"
http://www.cs.ucl.ac.uk/mobile/event_details/,"
			Event Details
		"
http://www.cs.ucl.ac.uk/prospective_students/,"
			Event Details
		"
http://www.cs.ucl.ac.uk/research/,"
			Event Details
		"
http://www.cs.ucl.ac.uk/industry_outreach/,"
			Event Details
		"
http://www.ucl.ac.uk/,"
			Help
		"
http://www.cs.ucl.ac.uk/home/,"
			Help
		"
http://www.cs.ucl.ac.uk/mobile/help/,"
			Help
		"
http://www.cs.ucl.ac.uk/prospective_students/,"
			Help
		"
http://www.cs.ucl.ac.uk/research/,"
			Help
		"
http://www.cs.ucl.ac.uk/industry_outreach/,"
			Help
		"
http://www.ucl.ac.uk/,"
			Admissions
		"
http://www.ucl.ac.uk/,"
			Andrea Bittau memorial scholarship
		"
http://www.cs.ucl.ac.uk/home/,"
			Andrea Bittau memorial scholarship
		"
http://www.cs.ucl.ac.uk/mobile/news/,"
			Andrea Bittau memorial scholarship
		"
http://www.cs.ucl.ac.uk/prospective_students/,"
			Andrea Bittau memorial scholarship
		"
http://www.cs.ucl.ac.uk/research/,"
			Andrea Bittau memorial scholarship
		"
http://www.cs.ucl.ac.uk/industry_outreach/,"
			Andrea Bittau memorial scholarship
		"
http://www.cs.ucl.ac.uk/home/,"
			Admissions
		"
http://www.cs.ucl.ac.uk/mobile/degrees/,"
			Admissions
		"
http://www.cs.ucl.ac.uk/prospective_students/,"
			Admissions
		"
http://www.cs.ucl.ac.uk/research/,"
			Admissions
		"
http://www.cs.ucl.ac.uk/industry_outreach/,"
			Admissions
		"
http://www.ucl.ac.uk/,"
			Event Details
		"
http://www.cs.ucl.ac.uk/home/,"
			Event Details
		"
http://www.cs.ucl.ac.uk/mobile/event_details/,"
			Event Details
		"
http://www.cs.ucl.ac.uk/prospective_students/,"
			Event Details
		"
http://www.cs.ucl.ac.uk/research/,"
			Event Details
		"
http://www.cs.ucl.ac.uk/industry_outreach/,"
			Event Details
		"
http://www.ucl.ac.uk/,"
			Staff Intranet
		"
http://www.cs.ucl.ac.uk/home/,"
			Staff Intranet
		"
http://www.cs.ucl.ac.uk/mobile/intranet/,"
			Staff Intranet
		"
http://www.cs.ucl.ac.uk/prospective_students/,"
			Staff Intranet
		"
http://www.cs.ucl.ac.uk/research/,"
			Staff Intranet
		"
http://www.cs.ucl.ac.uk/industry_outreach/,"
			Staff Intranet
		"
http://www.ucl.ac.uk/,"
			About Us
		"
http://www.cs.ucl.ac.uk/home/,"
			About Us
		"
http://www.cs.ucl.ac.uk/mobile/about_us/,"
			About Us
		"
http://www.cs.ucl.ac.uk/prospective_students/,"
			About Us
		"
http://www.cs.ucl.ac.uk/research/,"
			About Us
		"
http://www.cs.ucl.ac.uk/industry_outreach/,"
			About Us
		"
http://www.ucl.ac.uk/,"
			Computer Science News
		"
http://www.cs.ucl.ac.uk/home/,"
			Computer Science News
		"
http://www.cs.ucl.ac.uk/mobile/news/,"
			Computer Science News
		"
http://www.cs.ucl.ac.uk/prospective_students/,"
			Computer Science News
		"
http://www.cs.ucl.ac.uk/research/,"
			Computer Science News
		"
http://www.cs.ucl.ac.uk/industry_outreach/,"
			Computer Science News
		"
http://www.ucl.ac.uk/,"
			Current Students
		"
http://www.cs.ucl.ac.uk/home/,"
			Current Students
		"
http://www.cs.ucl.ac.uk/mobile/current_students/,"
			Current Students
		"
http://www.cs.ucl.ac.uk/prospective_students/,"
			Current Students
		"
http://www.cs.ucl.ac.uk/research/,"
			Current Students
		"
http://www.cs.ucl.ac.uk/industry_outreach/,"
			Current Students
		"
http://www.ucl.ac.uk/,"
			Events
		"
http://www.cs.ucl.ac.uk/home/,"
			Events
		"
http://www.cs.ucl.ac.uk/mobile/events/,"
			Events
		"
http://www.cs.ucl.ac.uk/prospective_students/,"
			Events
		"
http://www.cs.ucl.ac.uk/research/,"
			Events
		"
http://www.cs.ucl.ac.uk/industry_outreach/,"
			Events
		"
http://www.ucl.ac.uk/,"
			Research
		"
http://www.cs.ucl.ac.uk/home/,"
			Research
		"
http://www.cs.ucl.ac.uk/mobile/research/,"
			Research
		"
http://www.cs.ucl.ac.uk/prospective_students/,"
			Research
		"
http://www.cs.ucl.ac.uk/industry_outreach/,"
			Research
		"
http://www.cs.ucl.ac.uk/careers/,"
			Research
		"
http://www.ucl.ac.uk/,"
			Industry & Outreach
		"
http://www.cs.ucl.ac.uk/home/,"
			Industry & Outreach
		"
http://www.cs.ucl.ac.uk/mobile/industry_outreach/,"
			Industry & Outreach
		"
http://www.cs.ucl.ac.uk/prospective_students/,"
			Industry & Outreach
		"
http://www.cs.ucl.ac.uk/research/,"
			Industry & Outreach
		"
http://www.cs.ucl.ac.uk/careers/,"
			Industry & Outreach
		"
http://www.ucl.ac.uk/,"
			Careers
		"
http://www.cs.ucl.ac.uk/home/,"
			Careers
		"
http://www.cs.ucl.ac.uk/mobile/careers/,"
			Careers
		"
http://www.cs.ucl.ac.uk/prospective_students/,"
			Careers
		"
http://www.cs.ucl.ac.uk/research/,"
			Careers
		"
http://www.cs.ucl.ac.uk/industry_outreach/,"
			Careers
		"
http://www.cs.ucl.ac.uk/wics/about_us/,"                                   			
			Home                            		
		"
http://www.cs.ucl.ac.uk/wics/athena_swan/,"                                   			
			Home                            		
		"
http://www.cs.ucl.ac.uk/wics/grants/,"                                   			
			Home                            		
		"
http://www.cs.ucl.ac.uk/wics/awards/,"                                   			
			Home                            		
		"
http://www.cs.ucl.ac.uk/wics/picture_galleries/,"                                   			
			Home                            		
		"
http://www.cs.ucl.ac.uk/wics/events/,"                                   			
			Home                            		
		"
http://www.ucl.ac.uk/,"
			Prospective Students
		"
http://www.cs.ucl.ac.uk/home/,"
			Prospective Students
		"
http://www.cs.ucl.ac.uk/mobile/prospective_students/,"
			Prospective Students
		"
http://www.cs.ucl.ac.uk/research/,"
			Prospective Students
		"
http://www.cs.ucl.ac.uk/industry_outreach/,"
			Prospective Students
		"
http://www.cs.ucl.ac.uk/careers/,"
			Prospective Students
		"
http://www.ucl.ac.uk/,"
			CS Staff
		"
http://www.cs.ucl.ac.uk/home/,"
			CS Staff
		"
http://www.cs.ucl.ac.uk/people/?no_cache=1,"
			CS Staff
		"
http://www.cs.ucl.ac.uk/mobile/people/?no_cache=1,"
			CS Staff
		"
http://www.cs.ucl.ac.uk/prospective_students/,"
			CS Staff
		"
http://www.cs.ucl.ac.uk/research/,"
			CS Staff
		"
